Agency Name,ORI Number
ABBEVILLE POLICE DEPARTMENT,LA0570100
ABITA SPRINGS PD,LA0520600
ABITA SPRINGS POLICE DEPARTMENT,LA0520600
ACADIA PARISH SHERIFF'S OFFICE,LA0010000
ADDIS POLICE DEPARTMENT,LA0610300
ALBANY POLICE DEPARTMENT,LA0320400
ALEXANDRIA POLICE DEPARTMENT,LA0400100
ALLEN PARISH SHERIFF'S OFFICE,LA0020000
AMITE POLICE DEPARTMENT,LA0530400
ANGIE POLICE DEPARTMENT,LA0590400
ARCADIA POLICE DEPARTMENT,LA0070100
ARNAUDVILLE POLICE DEPARTMENT,LA0490300
ASCENSION PARISH SHERIFF'S OFFICE,LA0030000
ASHLAND POLICE DEPARTMENT,LA0350700
ASSUMPTION PARISH SHERIFF'S OFFICE,LA0040000
AVOYELLES PARISH SHERIFF'S OFFICE,LA0050000
BAKER POLICE DEPARTMENT,LA0170100
BALDWIN POLICE DEPARTMENT,LA0510500
BALL POLICE DEPARTMENT,LA0401000
BASILE POLICE DEPARTMENT,LA0200100
BASKIN POLICE DEPARTMENT,LA0210400
BASTROP POLICE DEPARTMENT,LA0340100
BATON ROUGE POLICE DEPARTMENT,LA0170200
BEAUREGARD PARISH SHERIFF'S OFFICE,LA0060000
BELCHER POLICE DEPARTMENT,LA0090500
BENTON POLICE DEPARTMENT,LA0080200
BERNICE POLICE DEPARTMENT,LA0560200
BERWICK POLICE DEPARTMENT,LA0510100
BIENVILLE PARISH SHERIFF'S OFFICE,LA0070000
BIENVILLE PD,LA0070800
BIENVILLE POLICE DEPARTMENT,LA0070800
BLANCHARD POLICE DEPARTMENT,LA0090400
BOGALUSA POLICE DEPARTMENT,LA0590100
BONITA POLICE DEPARTMENT,LA0340300
BONITA POLICE DEPT.,LA0340300
BOSSIER CITY POLICE DEPARTMENT,LA0080100
BOSSIER CITY POLICE DEPT,LA0080100
BOSSIER PARISH SHERIFF'S OFFICE,LA0080000
BOYCE POLICE DEPARTMENT,LA0400300
BREAUX   BRIDGE POLICE DEPARTMENT,LA0500100
BREAUX BRIDGE POLICE DEPARTMENT,LA0500100
BROUSSARD POLICE DEPARTMENT,LA0280100
BRUSLY POLICE DEPARTMENT,LA0610200
BRYCELAND POLICE DEPARTMENT,LA0070700
BUNKIE POLICE DEPARTMENT,LA0050100
CADDO PARISH SHERIFF'S OFFICE,LA0090000
CALCASIEU PARISH SHERIFF'S OFFICE,LA0100000
CALDWELL PARISH SHERIFF'S OFFICE,LA0110000
CALVIN POLICE DEPARTMENT,LA0640300
CAMERON PARISH SHERIFF'S OFFICE,LA0120000
CAMPTI POLICE DEPARTMENT,LA0350200
CANKTON POLICE DEPARTMENT,LA0491200
CARENCRO POLICE DEPARTMENT,LA0280200
CATAHOULA PARISH SHERIFF'S OFFICE,LA0130000
CENTENARY COLLEGE POLICE DEPARTMENT,LA0080800
CHATAIGNIER POLICE DEPARTMENT,LA0200600
CHATHAM POLICE DEPARTMENT,LA0250200
CHENEYVILLE POLICE DEPARTMENT,LA0400500
CHENEYVILLE POLICE DEPT.,LA0400500
CHITIMACHA TRIBAL POLICE DEPARTMENT,LA0510600
CHOUDRANT POLICE DEPARTMENT,LA0310400
CHURCH POINT POLICE DEPARTMENT,LA0010300
CLAIBORNE PARISH SHERIFF'S OFFICE,LA0140000
CLARENCE POLICE DEPARTMENT,LA0350400
CLARKS POLICE DEPARTMENT,LA0110200
CLAYTON POLICE DEPARTMENT,LA0150300
CLINTON POLICE DEPARTMENT,LA0190100
CLINTON POLICE DEPT.,LA0190100
COLFAX POLICE DEPARTMENT,LA0220100
COLLINSTON POLICE DEPARTMENT,LA0340400
COLLINSTON POLICE DEPT,LA0340400
COLUMBIA POLICE DEPARTMENT,LA0110100
CONCORDIA PARISH SHERIFF'S OFFICE,LA0150000
CONVERSE POLICE DEPARTMENT,LA0430300
COTTON VALLEY POLICE DEPARTMENT,LA0600300
COTTONPORT POLICE DEPARTMENT,LA0050400
COUSHATTA POLICE DEPARTMENT,LA0410100
COUSHATTA TRIBAL POLICE DEPARTMENT,LADI00600
COVINGTON POLICE DEPARTMENT,LA0520100
CROWLEY POLICE DEPARTMENT,LA0010100
CULLEN POLICE DEPARTMENT,LA0600400
DE SOTO PARISH SHERIFF'S OFFICE,LA0160000
DELCAMBRE POLICE DEPARTMENT,LA0570300
DELGADO COMMUNITY COLLEGE POLICE,LA0360200
DELGADO COMMUNITY COLLEGE POLICE DEPARTMENT,LA0360200
DELHI POLICE DEPARTMENT,LA0420100
DELTA MARSHALL POLICE DEPARTMENT,LA0330200
DELTA POLICE DEPARTMENT,LA0330200
DENHAM SPRINGS POLICE DEPARTMENT,LA0320100
DEPT PUB SFTY ST CAP DTL,LA0171100
DEQUINCY POLICE DEPARTMENT,LA0100100
DERIDDER POLICE DEPARTMENT,LA0060100
DILLARD UNIVERSITY POLICE DEPARTMENT,LA036219E
DIXIE INN POLICE DEPARTMENT,LA0600800
DODSON POLICE DEPARTMENT,LA0640200
DONALDSONVILLE PD,LA0030100
DONALDSONVILLE POLICE DEPARTMENT,LA0030100
DOWNSVILLE POLICE DEPARTMENT,LA0560800
DOYLINE POLICE DEPARTMENT,LA0600500
DRY PRONG POLICE DEPARTMENT,LA0220300
DUBACH POLICE DEPARTMENT,LA0310100
DUBACH POLICE DEPT,LA0310100
DUBBERLY POLICE DEPARTMENT,LA0601000
DUSON POLICE DEPARTMENT,LA0280400
EAST BATON ROUGE PARISH SHERIFF'S OFFICE,LA0170000
EAST CARROLL PARISH SHERIFF'S OFFICE,LA0180000
EAST FELICIANA PARISH SHERIFF'S OFFICE,LA0190000
EAST HODGE POLICE DEPARTMENT,LA0250700
EDGEFIELD POLICE DEPARTMENT,LA0410200
ELIZABETH POLICE DEPARTMENT,LA0200400
ELIZABETH POLICE DEPARTMENT,LA0204000
ELTON POLICE DEPARTMENT,LA0270100
EPPS POLICE DEPARTMENT,LA0620200
ERATH POLICE DEPARTMENT,LA0570400
EROS POLICE DEPARTMENT,LA0250500
ESTHERWOOD POLICE DEPARTMENT,LA0010500
EUNICE POLICE DEPARTMENT,LA0490100
EVANGELINE PARISH SHERIFF'S OFFICE,LA0200000
EVERGREEN POLICE DEPARTMENT,LA0050800
FARMERVILLE POLICE DEPARTMENT,LA0560100
FENTON POLICE DEPARTMENT,LA0270500
FERRIDAY POLICE DEPARTMENT,LA0150100
FISHER POLICE DEPARTMENT,LA0430700
FISHER POLICE DEPT,LA0430700
