Agency Name,ORI Number
ABBEVILLE POLICE DEPARTMENT,LA0570100
ABITA SPRINGS POLICE DEPARTMENT,LA0520600
ADDIS POLICE DEPARTMENT,LA0610300
ALBANY POLICE DEPARTMENT,LA0320400
ALEXANDRIA POLICE DEPARTMENT,LA0400100
AMITE POLICE DEPARTMENT,LA0530400
ANGIE POLICE DEPARTMENT,LA0590400
ARCADIA POLICE DEPARTMENT,LA0070100
ARNAUDVILLE POLICE DEPARTMENT,LA0490300
ASHLAND POLICE DEPARTMENT,LA0350700
BAKER POLICE DEPARTMENT,LA0170100
BALDWIN POLICE DEPARTMENT,LA0510500
BALL POLICE DEPARTMENT,LA0401000
BASILE POLICE DEPARTMENT,LA0200100
BASKIN POLICE DEPARTMENT,LA0210400
BASTROP POLICE DEPARTMENT,LA0340100
BATON ROUGE POLICE DEPARTMENT,LA0170200
BELCHER POLICE DEPARTMENT,LA0090500
BENTON POLICE DEPARTMENT,LA0080200
BERNICE POLICE DEPARTMENT,LA0560200
BERWICK POLICE DEPARTMENT,LA0510100
BIENVILLE POLICE DEPARTMENT,LA0070800
BLANCHARD POLICE DEPARTMENT,LA0090400
BOGALUSA POLICE DEPARTMENT,LA0590100
BONITA POLICE DEPARTMENT,LA0340300
BOSSIER CITY POLICE DEPARTMENT,LA0080100
BOYCE POLICE DEPARTMENT,LA0400300
BREAUX BRIDGE POLICE DEPARTMENT,LA0500100
BROUSSARD POLICE DEPARTMENT,LA0280100
BRUSLY POLICE DEPARTMENT,LA0610200
BRYCELAND POLICE DEPARTMENT,LA0070700
BUNKIE POLICE DEPARTMENT,LA0050100
CALVIN POLICE DEPARTMENT,LA0640300
CAMPTI POLICE DEPARTMENT,LA0350200
CANKTON POLICE DEPARTMENT,LA0491200
CARENCRO POLICE DEPARTMENT,LA0280200
CENTENARY COLLEGE POLICE DEPARTMENT,LA0080800
CHATAIGNIER POLICE DEPARTMENT,LA0200600
CHATHAM POLICE DEPARTMENT,LA0250200
CHENEYVILLE POLICE DEPARTMENT,LA0400500
CHOUDRANT POLICE DEPARTMENT,LA0310400
CHURCH POINT POLICE DEPARTMENT,LA0010300
CLARENCE POLICE DEPARTMENT,LA0350400
CLARKS POLICE DEPARTMENT,LA0110200
CLAYTON POLICE DEPARTMENT,LA0150300
CLINTON POLICE DEPARTMENT,LA0190100
COLFAX POLICE DEPARTMENT,LA0220100
COLLINSTON POLICE DEPARTMENT,LA0340400
COLUMBIA POLICE DEPARTMENT,LA0110100
CONVERSE POLICE DEPARTMENT,LA0430300
COTTON VALLEY POLICE DEPARTMENT,LA0600300
COTTONPORT POLICE DEPARTMENT,LA0050400
COUSHATTA POLICE DEPARTMENT,LA0410100
COVINGTON POLICE DEPARTMENT,LA0520100
CROWLEY POLICE DEPARTMENT,LA0010100
CULLEN POLICE DEPARTMENT,LA0600400
DELCAMBRE POLICE DEPARTMENT,LA0570300
DELGADO COMMUNITY COLLEGE POLICE DEPARTMENT,LA0360200
DELHI POLICE DEPARTMENT,LA0420100
DELTA POLICE DEPARTMENT,LA0330200
DENHAM SPRINGS POLICE DEPARTMENT,LA0320100
DEQUINCY POLICE DEPARTMENT,LA0100100
DERIDDER POLICE DEPARTMENT,LA0060100
DIXIE INN POLICE DEPARTMENT,LA0600800
DODSON POLICE DEPARTMENT,LA0640200
DONALDSONVILLE POLICE DEPARTMENT,LA0030100
DOWNSVILLE POLICE DEPARTMENT,LA0560800
DOYLINE POLICE DEPARTMENT,LA0600500
DRY PRONG POLICE DEPARTMENT,LA0220300
DUBACH POLICE DEPARTMENT,LA0310100
